WARD,LOCATION,ADDRESS,BILINGUAL VOTING OFFICIAL PRESENT
Ward 1,Goldblatts Building,1615 W. Chicago Ave.,Spanish and Polish
Ward 2,Near North Library,310 W. Division St.,
Ward 3,Dawson Technical Institute,3901 S. State St.,
Ward 4,Dr. Martin Luther King Center,4314 S. Cottage Gr.,
Ward 5,Southside YMCA,6330 S. Stony Island Ave.,
Ward 6,Whitney Young Library,415 E. 79th St.,
Ward 7,Trumbull Park,2400 E. 105th St.,
Ward 8,Olive Harvey College,10001 S. Woodlawn Ave.,
Ward 9,Palmer Park,201 E. 111th St.,
Ward 10,Vodak- East Side Library,3710 E. 106th St.,Spanish
Ward 11,McGuane Park,2901 S. Poplar Ave.,Spanish and Chinese (Cantonese/Mandarin)
Ward 12,McKinley Park Library,1915 W. 35th St.,Spanish and Chinese (Cantonese/Mandarin)
Ward 13,Clearing Library,6423 W. 63rd Pl.,Polish
Ward 14,Archer Heights Library,5055 S. Archer Ave.,"Spanish, Chinese (Cantonese) and Polish"
Ward 15,Brighton Park Community Campus (Park No. 596),4830 S. Western Ave.,Spanish
Ward 16,Lindblom Park,6054 S. Damen Ave.,
Ward 17,Thurgood Marshall Library,7506 S. Racine Ave.,
Ward 18,Wrightwood Ashburn Library,8530 S. Kedzie Ave.,
Ward 19,Mt Greenwood Park,3721 W. 111th St.,
Ward 20,Bessie Coleman Library,731 E. 63rd St.,Spanish
Ward 21,West Pullman Library,830 W. 119th St.,
Ward 22,Toman Library,2708 S. Pulaski Rd.,Spanish
Ward 23,Hall-St Faustina Kowalska Parish,5157 S. McVicker Ave.,Spanish
Ward 24,St Agatha Catholic Parish,3151 W. Douglas Bv.,
Ward 25,Rudy Lozano Library,1805 S. Loomis St.,Spanish and Chinese (Cantonese)
Ward 26,Humboldt Park Library,1605 N. Troy St.,Spanish
Ward 27,Union Park Field House,1501 W. Randolph St.,Spanish
Ward 28,West Side Learning Center,4624 W. Madison St.,
Ward 29,Amundsen Park,6200 W. Bloomingdale Ave.,Spanish
Ward 30,Kilbourn Park,3501 N. Kilbourn Ave.,Spanish
Ward 31,Portage Cragin Library,5108 W. Belmont Ave.,Spanish and Polish
Ward 32,Bucktown-Wicker Park Library,1701 N. Milwaukee Ave.,
Ward 33,American Indian Center,3401 W. Ainslie St.,Spanish and Hindi/Gujarati
Ward 34,UIC Student Center East,750 S. Halsted St.,Spanish and Hindi/Urdu
Ward 35,Northeastern IL University El Centro,3390 N. Avondale Ave.,Spanish and Chinese (Cantonese)
Ward 36,West Belmont Library,3104 N. Narragansett Ave.,Spanish and Polish
Ward 37,West Chicago Library,4856 W. Chicago Ave.,
Ward 38,Hiawatha Park,8029 W. Forest Preserve Dr.,Polish
Ward 39,North Park Village Admin Building,5801 N. Pulaski Rd.,Hindi/Urdu and Korean
Ward 40,Budlong Woods Library,5630 N. Lincoln Ave.,Spanish and Hindi/Urdu
Ward 41,Roden Library,6083 N. Northwest Hw.,Spanish and Polish
Ward 42,Maggie Daley Park Fieldhouse,337 E. Randolph St.,Chinese (Cantonese) and Polish
Ward 43,Lincoln Park Library,1150 W. Fullerton Ave.,Spanish and Polish
Ward 44,Merlo Library,644 W. Belmont Ave.,
Ward 45,Kolping Society of Chicago,5826 N. Elston Ave.,Spanish and Polish
Ward 46,Truman College,1145 W. Wilson Ave.,Chinese (Mandarin)
Ward 47,Welles Park,2333 W. Sunnyside Ave.,
Ward 48,Broadway Armory,5917 N. Broadway St.,Chinese (Cantonese/Mandarin) and Hindi/Urdu
Ward 49,Willye B White Park,1610 W. Howard St.,Hindi/Urdu
Ward 50,Northtown Library,6800 N. Western Ave.,Hindi/Urdu
Downtown,Chicago Board of Elections,"69 W. Washington, 6th Floor",
Downtown,Supersite,191 N. Clark St.,"Spanish, Chinese (Mandarin/Cantonese), and Hindi/Gujarati/Urdu"
